t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
181.35,3.037,0.467,2.185
181.86,2.97,0.582,2.185
182.38,2.932,0.453,0.531
182.99,3.023,0.467,2.185
184.16,3.034,0.453,0.531
184.77,2.979,0.484,2.185
185.34,2.94,0.566,0.631
185.87,3.029,0.465,2.185
186.83,2.925,0.55,1.185
187.36,3.021,0.866,2.185
188.16,3.028,0.453,2.185
188.67,3.038,0.453,2.185
189.18,2.963,0.453,2.181
189.69,2.962,0.453,2.185
190.2,3.03,0.467,2.185
191.55,3.028,0.453,2.185
192.06,3.025,0.467,2.185
193.2,3.027,0.453,2.185
193.71,3.036,0.453,2.185
194.22,2.924,0.482,2.181
194.74,3.082,0.465,2.185
196.19,2.938,0.535,1.185
196.72,3.03,0.582,2.185
197.32,3.032,0.453,2.185
197.83,2.937,0.453,2.185
198.34,3.035,0.467,2.185
198.85,3.028,0.453,2.185
199.36,2.936,0.453,2.185
199.88,2.933,0.453,2.181
200.39,3.018,0.467,2.185
201.08,2.942,0.535,1.185
201.62,3.088,0.455,2.185
202.59,2.929,0.453,0.531
203.11,3.034,0.467,2.185
203.62,3.019,0.462,2.185
204.13,2.937,1.27,1.877
204.65,3.028,0.467,2.185
205.16,3.037,0.467,2.185
205.73,3.036,0.51,2.185
206.24,3.027,0.467,2.185
206.94,3.03,0.513,2.185
207.45,3.017,0.467,2.185
208.27,3.02,0.453,2.185
208.79,3.03,0.467,2.185
209.31,3.028,0.453,2.185
209.82,3.029,0.467,2.185
210.5,3.032,0.453,2.185
211.02,3.091,0.466,2.185
211.99,2.943,0.539,1.185
212.6,3.019,0.453,2.185
213.6,2.943,0.453,0.531
214.12,3.086,0.453,2.185
214.68,2.927,0.566,0.732
215.2,3.095,0.464,2.185
215.72,2.957,0.466,0.531
216.25,3.027,0.467,2.185
216.76,2.957,0.518,2.185
217.26,3.025,1.206,2.185
218.21,3.09,0.453,2.185
218.73,3.09,0.467,2.185
220.17,2.927,0.453,0.531
220.69,3.036,0.467,2.185
221.49,3.035,0.453,2.185
222.01,3.029,0.695,2.185
222.64,3.102,0.466,2.185
223.15,3.033,0.467,2.185
224.62,3.096,0.453,2.185
225.13,3.028,0.467,2.185
226.74,3.026,0.453,2.187
227.26,3.016,0.639,2.185
228.18,3.09,0.465,2.185
228.69,3.087,0.469,2.185
229.72,3.028,0.453,2.185
230.26,3.097,0.469,2.185
231.74,2.942,0.466,0.531
232.27,2.99,0.463,2.185
233.22,2.94,0.453,0.531
233.74,3.049,0.467,2.185
234.25,2.904,0.453,0.531
234.77,3.013,0.467,2.185
235.28,3.067,0.462,2.185
236.2,2.944,0.617,0.732
236.72,2.962,0.453,2.185
237.23,3.029,0.467,2.185
238.28,3.028,0.453,2.185
238.8,3.029,0.467,2.185
239.49,3.032,0.453,2.185
240.01,3.032,0.453,2.185
240.52,2.944,0.482,2.181
241.03,3.024,0.467,2.185
241.54,2.944,0.548,1.185
242.15,3.019,0.453,2.187
242.65,2.928,0.482,2.181
243.16,3.024,0.467,2.185
243.67,3.036,0.453,2.185
244.19,3.029,0.467,2.185
245.23,3.032,0.453,2.185
245.75,3.013,0.467,2.185
246.59,2.941,0.566,0.732
247.12,3.025,0.467,2.185
247.62,3.029,0.453,2.187
248.13,3.059,0.453,2.185
248.72,2.941,0.453,0.531
249.24,3.022,0.467,2.185
249.77,3.091,0.466,2.185
250.31,3.082,0.463,2.185
251.38,2.941,0.54,1.185
251.92,3.022,0.866,2.185
252.53,3.024,0.503,2.185
253.06,3.034,0.866,2.185
253.82,3.091,0.453,2.185
254.34,3.092,0.468,2.185
255.64,3.029,0.504,2.185
256.17,3.091,0.47,2.185
258.06,3.025,0.453,2.185
258.57,3.096,0.465,2.185
260.17,2.941,0.579,1.185
260.69,3.03,0.922,2.185
261.45,3.029,0.453,2.185
261.96,3.099,0.453,2.185
262.53,2.929,0.453,0.531
263.06,3.093,0.462,2.185
264.29,2.934,0.453,0.531
264.81,3.03,0.467,2.185
265.33,3.022,0.526,2.185
266.31,3.025,0.453,2.185
266.83,3.017,0.467,2.185
267.69,3.025,0.453,2.185
268.2,3.03,0.582,2.185
269.34,3.037,0.453,2.185
269.85,3.026,0.467,2.185
270.67,3.037,0.453,2.187
271.19,3.03,0.467,2.185
271.76,3.037,0.512,2.185
272.28,3.026,0.467,2.185
273.08,3.025,0.453,2.185
273.6,3.031,0.525,2.185
274.35,3.021,0.453,2.185
274.87,3.017,0.467,2.185
276.06,3.021,0.473,2.185
276.57,3.088,0.467,2.185
277.6,2.945,0.466,0.531
278.12,3.021,0.467,2.185
278.69,3.024,0.453,2.185
279.2,3.097,0.453,2.185
279.75,2.928,0.453,0.531
280.29,3.038,0.467,2.185
281.3,3.036,0.522,2.185
281.82,3.027,0.467,2.185
282.9,3.03,0.472,2.185
283.41,3.076,0.465,2.185
284.33,3.029,0.453,2.185
284.85,3.022,0.467,2.185
286.61,3.033,0.453,2.185
287.13,3.026,1.093,2.185
288.71,3.025,0.453,2.185
289.22,3.022,0.467,2.185
290.02,3.087,0.453,2.185
290.54,3.054,0.469,2.185
292.64,3.029,0.453,2.185
293.16,3.096,0.464,2.185
294.82,2.941,0.453,0.531
295.35,3.022,0.752,2.185
296.41,3.033,0.508,2.185
296.93,3.099,0.466,2.185
297.72,2.941,0.566,0.732
298.26,3.099,0.458,2.185
299.57,2.943,0.453,0.531
300.1,3.024,0.467,2.185
301.2,3.036,0.474,2.185
301.72,3.029,0.922,2.185
302.52,3.04,0.516,2.185
303.04,3.037,0.467,2.185
304.25,3.098,0.453,2.185
304.76,3.018,0.467,2.185
306.35,3.029,0.453,2.185
306.86,3.022,0.467,2.185
307.66,2.941,0.453,0.531
308.27,3.033,0.47,2.185
308.78,2.93,0.453,0.531
309.3,3.027,0.467,2.185
309.98,3.025,0.453,2.185
310.5,3.084,0.469,2.185
311.42,3.025,0.453,0.531
311.94,3.099,0.472,2.185
313.14,3.033,0.453,2.185
313.66,3.086,0.467,2.185
315.15,2.925,0.466,0.531
315.68,3.034,0.467,2.185
316.95,3.102,0.453,2.185
317.47,3.038,0.467,2.185
319.03,3.037,0.453,2.185
319.54,3.032,0.582,2.185
320.09,3.034,0.511,2.185
320.61,3.088,0.472,2.185
321.85,2.946,0.552,1.185
322.38,3.095,0.469,2.185
323.41,2.944,0.516,0.581
323.94,3.108,0.47,2.185
324.96,3.036,0.453,2.185
325.48,3.084,0.466,2.185
327.04,3.036,0.474,2.185
327.59,3.09,0.464,2.185
329.1,2.947,0.548,1.185
329.64,3.018,0.467,2.185
330.64,3.063,0.453,2.185
331.15,3.106,0.464,2.185
331.98,2.926,0.466,0.531
332.51,3.023,0.554,2.185
333.38,3.099,0.465,2.185
333.9,3.091,0.469,2.185
335.04,3.037,0.453,2.185
335.56,3.098,0.464,2.185
337.15,2.933,0.453,0.531
337.67,3.03,0.467,2.185
338.33,3.028,0.453,2.185
338.84,3.026,0.922,2.185
339.46,3.028,0.531,2.185
339.97,3.038,0.866,2.185
340.91,3.111,0.453,2.185
341.43,3.083,0.466,2.185
342.58,2.942,0.453,0.531
343.1,3.103,0.467,2.185
344.32,2.946,0.539,1.185
344.85,3.108,0.469,2.185
345.7,2.944,0.65,1.185
346.35,3.104,0.47,2.185
347.31,3.04,0.453,2.185
347.83,3.098,0.465,2.185
349.25,2.932,0.572,1.185
349.78,3.022,0.467,2.185
350.79,3.033,0.545,2.185
351.31,3.023,0.467,2.185
352.54,3.021,0.453,2.185
353.05,3.019,0.467,2.185
353.69,2.926,0.453,0.531
354.2,2.948,0.453,2.185
354.72,3.027,0.467,2.185
355.96,3.03,0.505,2.185
