t_s,rss_gb,cuda_alloc_gb,cuda_reserved_gb
341.58,2.949,0.453,2.185
342.09,3.002,0.453,2.181
342.6,3.05,0.467,2.185
343.11,3.062,0.467,2.185
344.3,3.044,0.453,2.185
344.82,3.12,0.467,2.185
345.91,2.958,0.539,1.185
346.44,2.956,0.464,2.185
347.29,2.958,0.529,0.581
347.81,3.101,0.467,2.185
348.42,3.038,0.507,2.185
348.93,3.044,0.467,2.185
350.42,3.057,0.453,0.531
351.02,2.978,0.453,2.185
351.53,3.102,0.465,2.185
352.91,2.956,0.566,1.185
353.45,3.138,0.468,2.185
354.5,2.955,0.539,1.185
355.03,3.11,0.468,2.185
356.29,2.956,0.453,0.531
356.9,3.099,0.467,2.185
358.49,3.048,0.453,2.185
359.02,3.048,0.467,2.185
360.32,2.936,0.453,0.531
360.93,2.973,0.462,2.185
361.45,2.955,0.572,1.185
361.97,2.938,0.453,2.185
362.48,3.039,0.453,2.181
362.99,3.125,0.472,2.185
364.07,2.943,0.453,0.531
364.59,3.062,0.467,2.185
365.1,3.055,0.453,2.185
365.61,3.112,0.465,2.185
366.37,2.947,0.572,1.185
366.89,3.059,0.467,2.185
367.4,3.051,0.453,2.185
367.91,3.089,0.467,2.185
369.14,3.051,0.453,2.185
369.65,3.069,0.467,2.185
370.96,2.94,0.453,0.531
371.48,2.97,0.453,2.185
371.99,3.038,0.526,2.185
372.71,3.052,0.453,2.185
373.22,3.024,0.453,2.185
373.73,3.012,0.453,2.181
374.24,3.044,0.453,2.185
374.76,2.941,0.453,0.531
375.28,3.025,0.467,2.185
375.79,3.044,0.467,2.185
377.35,2.952,0.466,0.531
377.87,2.974,0.453,2.185
378.38,3.033,0.582,2.185
379.83,3.093,0.453,2.185
380.34,3.127,0.468,2.185
382.07,3.053,0.453,2.185
382.6,3.116,0.458,2.185
383.99,2.945,0.466,0.531
384.52,3.059,0.467,2.185
385.71,3.046,0.507,2.185
386.22,3.037,0.809,2.185
387.24,3.037,0.453,2.185
387.77,3.045,0.467,2.185
388.46,3.045,0.453,2.185
388.98,3.059,0.467,2.185
389.63,3.098,0.453,2.185
390.15,3.044,0.526,2.185
391.97,3.044,0.474,2.185
392.48,3.044,0.467,2.185
393.54,3.044,0.453,2.185
394.05,3.045,0.467,2.185
394.56,3.082,0.467,2.185
395.07,2.949,0.552,1.185
395.61,2.975,0.453,2.185
396.12,3.07,0.467,2.185
